,x,y,r_sq,ABC
0,wind_10m,wind_10m,1.0,0.0
1,wind_10m,specific_humidity,-0.628101728386,-2.37171471463
2,wind_10m,LW_down,-0.619776227044,-2.50546153567
3,wind_10m,SW_down,-0.645123582708,-2.46773807686
4,wind_10m,rainfall,-0.130311010643,-1.36300979538
5,wind_10m,snowfall,0.722011905174,0.0452228325534
6,wind_10m,sosaline,0.367092854176,-0.161501985223
7,wind_10m,sst,-0.400925310488,-2.0701764006
8,wind_10m,t2m,-0.628529305713,-2.56906933079
9,wind_10m,surface_pressure,-0.219594124591,-2.19020666918
10,wind_10m,sea_ice_extent,0.256761479945,-0.742047587071
11,specific_humidity,wind_10m,-0.628101728386,2.37171471463
12,specific_humidity,specific_humidity,1.0,0.0
13,specific_humidity,LW_down,0.972840572104,-0.133746821045
14,specific_humidity,SW_down,0.656764288192,-0.0960233622323
15,specific_humidity,rainfall,0.66518413493,1.00870491924
16,specific_humidity,snowfall,-0.785777529511,2.41693754718
17,specific_humidity,sosaline,-0.778277492297,2.21021272941
18,specific_humidity,sst,0.847641183759,0.30153831402
19,specific_humidity,t2m,0.954192267414,-0.197354616158
20,specific_humidity,surface_pressure,-0.05982919877,0.181508045445
21,specific_humidity,sea_ice_extent,-0.689271383987,1.62966712757
22,LW_down,wind_10m,-0.619776227044,2.50546153567
23,LW_down,specific_humidity,0.972840572104,0.133746821045
24,LW_down,LW_down,1.0,0.0
25,LW_down,SW_down,0.695171005089,0.0377234588128
26,LW_down,rainfall,0.662956911896,1.14245174029
27,LW_down,snowfall,-0.720142967231,2.55068436822
28,LW_down,sosaline,-0.793033344392,2.34395955045
29,LW_down,sst,0.827595778707,0.435285135068
30,LW_down,t2m,0.993279885336,-0.0636077951122
31,LW_down,surface_pressure,-0.0228657662574,0.315254866496
32,LW_down,sea_ice_extent,-0.726412191748,1.76341394862
33,SW_down,wind_10m,-0.645123582708,2.46773807686
34,SW_down,specific_humidity,0.656764288192,0.0960233622323
35,SW_down,LW_down,0.695171005089,-0.0377234588128
36,SW_down,SW_down,1.0,0.0
37,SW_down,rainfall,0.139697041344,1.10472828147
38,SW_down,snowfall,-0.677368398505,2.51296090941
39,SW_down,sosaline,-0.215423399088,2.30623609164
40,SW_down,sst,0.236922578411,0.397561676255
41,SW_down,t2m,0.743929893572,-0.101331253927
42,SW_down,surface_pressure,0.203340641132,0.27753140768
43,SW_down,sea_ice_extent,-0.0677236444219,1.7256904898
44,rainfall,wind_10m,-0.130311010643,1.36300979538
45,rainfall,specific_humidity,0.66518413493,-1.00870491924
46,rainfall,LW_down,0.662956911896,-1.14245174029
47,rainfall,SW_down,0.139697041344,-1.10472828147
48,rainfall,rainfall,1.0,0.0
49,rainfall,snowfall,-0.164614638448,1.40823262794
50,rainfall,sosaline,-0.735019551447,1.20150781016
51,rainfall,sst,0.756109831469,-0.707166605223
52,rainfall,t2m,0.619744634417,-1.2060595354
53,rainfall,surface_pressure,-0.326552947436,-0.827196873796
54,rainfall,sea_ice_extent,-0.745781065975,0.620962208325
55,snowfall,wind_10m,0.722011905174,-0.0452228325534
56,snowfall,specific_humidity,-0.785777529511,-2.41693754718
57,snowfall,LW_down,-0.720142967231,-2.55068436822
58,snowfall,SW_down,-0.677368398505,-2.51296090941
59,snowfall,rainfall,-0.164614638448,-1.40823262794
60,snowfall,snowfall,1.0,0.0
61,snowfall,sosaline,0.448060893997,-0.206724817774
62,snowfall,sst,-0.555209348552,-2.11539923315
63,snowfall,t2m,-0.718240802542,-2.61429216334
64,snowfall,surface_pressure,-0.15941685907,-2.23542950173
65,snowfall,sea_ice_extent,0.324235083914,-0.787270419625
66,sosaline,wind_10m,0.367092854176,0.161501985223
67,sosaline,specific_humidity,-0.778277492297,-2.21021272941
68,sosaline,LW_down,-0.793033344392,-2.34395955045
69,sosaline,SW_down,-0.215423399088,-2.30623609164
70,sosaline,rainfall,-0.735019551447,-1.20150781016
71,sosaline,snowfall,0.448060893997,0.206724817774
72,sosaline,sosaline,1.0,0.0
73,sosaline,sst,-0.892214924988,-1.90867441539
74,sosaline,t2m,-0.759872113521,-2.40756734557
75,sosaline,surface_pressure,0.146592250181,-2.02870468396
76,sosaline,sea_ice_extent,0.901110037742,-0.580545601838
77,sst,wind_10m,-0.400925310488,2.0701764006
78,sst,specific_humidity,0.847641183759,-0.30153831402
79,sst,LW_down,0.827595778707,-0.435285135068
80,sst,SW_down,0.236922578411,-0.397561676255
81,sst,rainfall,0.756109831469,0.707166605223
82,sst,snowfall,-0.555209348552,2.11539923315
83,sst,sosaline,-0.892214924988,1.90867441539
84,sst,sst,1.0,0.0
85,sst,t2m,0.789273455174,-0.498892930184
86,sst,surface_pressure,-0.137992426877,-0.120030268573
87,sst,sea_ice_extent,-0.924020058909,1.32812881354
88,t2m,wind_10m,-0.628529305713,2.56906933079
89,t2m,specific_humidity,0.954192267414,0.197354616158
90,t2m,LW_down,0.993279885336,0.0636077951122
91,t2m,SW_down,0.743929893572,0.101331253927
92,t2m,rainfall,0.619744634417,1.2060595354
93,t2m,snowfall,-0.718240802542,2.61429216334
94,t2m,sosaline,-0.759872113521,2.40756734557
95,t2m,sst,0.789273455174,0.498892930184
96,t2m,t2m,1.0,0.0
97,t2m,surface_pressure,-0.00056227016467,0.378862661605
98,t2m,sea_ice_extent,-0.692738399297,1.82702174373
99,surface_pressure,wind_10m,-0.219594124591,2.19020666918
100,surface_pressure,specific_humidity,-0.05982919877,-0.181508045445
101,surface_pressure,LW_down,-0.0228657662574,-0.315254866496
102,surface_pressure,SW_down,0.203340641132,-0.27753140768
103,surface_pressure,rainfall,-0.326552947436,0.827196873796
104,surface_pressure,snowfall,-0.15941685907,2.23542950173
105,surface_pressure,sosaline,0.146592250181,2.02870468396
106,surface_pressure,sst,-0.137992426877,0.120030268573
107,surface_pressure,t2m,-0.00056227016467,-0.378862661605
108,surface_pressure,surface_pressure,1.0,0.0
109,surface_pressure,sea_ice_extent,0.171443654914,1.44815908212
110,sea_ice_extent,wind_10m,0.256761479945,0.742047587071
111,sea_ice_extent,specific_humidity,-0.689271383987,-1.62966712757
112,sea_ice_extent,LW_down,-0.726412191748,-1.76341394862
113,sea_ice_extent,SW_down,-0.0677236444219,-1.7256904898
114,sea_ice_extent,rainfall,-0.745781065975,-0.620962208325
115,sea_ice_extent,snowfall,0.324235083914,0.787270419625
116,sea_ice_extent,sosaline,0.901110037742,0.580545601838
117,sea_ice_extent,sst,-0.924020058909,-1.32812881354
118,sea_ice_extent,t2m,-0.692738399297,-1.82702174373
119,sea_ice_extent,surface_pressure,0.171443654914,-1.44815908212
120,sea_ice_extent,sea_ice_extent,1.0,0.0
