,x,y,r_sq_daily,r_sq_yearly,variance
30,LW_down,t2m,0.993279885,0.992244483,0.001035402
19,specific_humidity,t2m,0.954192267,0.952718636,0.001473631
13,specific_humidity,LW_down,0.972840572,0.965366917,0.007473655
20,specific_humidity,surface_pressure,-0.059829199,-0.051940779,0.007888419
15,specific_humidity,rainfall,0.665184135,0.675925244,0.010741109
26,LW_down,rainfall,0.662956912,0.67675192,0.013795008
87,sst,sea_ice_extent,-0.924020059,-0.959213657,0.035193598
97,t2m,surface_pressure,-0.00056227,0.037247814,0.037810084
52,rainfall,t2m,0.619744634,0.659365726,0.039621091
18,specific_humidity,sst,0.847641184,0.889259176,0.041617993
65,snowfall,sea_ice_extent,0.324235084,0.386274139,0.062039055
31,LW_down,surface_pressure,-0.022865766,0.042551319,0.065417085
29,LW_down,sst,0.827595779,0.899727534,0.072131755
54,rainfall,sea_ice_extent,-0.745781066,-0.627725101,0.118055965
85,sst,t2m,0.789273455,0.909068295,0.11979484
62,snowfall,sst,-0.555209349,-0.429731641,0.125477708
5,wind_10m,snowfall,0.722011905,0.552868892,0.169143013
42,SW_down,surface_pressure,0.203340641,0.028210061,0.17513058
109,surface_pressure,sea_ice_extent,0.171443655,-0.017216097,0.188659752
32,LW_down,sea_ice_extent,-0.726412192,-0.937555588,0.211143396
51,rainfall,sst,0.756109831,0.537393779,0.218716052
21,specific_humidity,sea_ice_extent,-0.689271384,-0.916678561,0.227407177
86,sst,surface_pressure,-0.137992427,0.09079756,0.228789987
75,sosaline,surface_pressure,0.14659225,-0.100383101,0.246975351
53,rainfall,surface_pressure,-0.326552947,-0.576088577,0.24953563
98,t2m,sea_ice_extent,-0.692738399,-0.94289897,0.250160571
61,snowfall,sosaline,0.448060894,0.16271377,0.285347124
6,wind_10m,sosaline,0.367092854,0.020000527,0.347092327
9,wind_10m,surface_pressure,-0.219594125,-0.601577033,0.381982908
27,LW_down,snowfall,-0.720142967,-0.317557502,0.402585465
16,specific_humidity,snowfall,-0.78577753,-0.37375689,0.41202064
63,snowfall,t2m,-0.718240803,-0.305440344,0.412800458
64,snowfall,surface_pressure,-0.159416859,-0.62315497,0.463738111
43,SW_down,sea_ice_extent,-0.067723644,0.409710529,0.477434173
3,wind_10m,SW_down,-0.645123583,-0.163940638,0.481182945
39,SW_down,sosaline,-0.215423399,0.274543369,0.489966768
49,rainfall,snowfall,-0.164614638,0.33236768,0.496982318
40,SW_down,sst,0.236922578,-0.286677665,0.523600243
10,wind_10m,sea_ice_extent,0.25676148,-0.306944361,0.563705841
37,SW_down,rainfall,0.139697041,-0.453674625,0.593371666
7,wind_10m,sst,-0.40092531,0.210601737,0.611527048
74,sosaline,t2m,-0.759872114,-0.098272446,0.661599667
28,LW_down,sosaline,-0.793033344,-0.100894149,0.692139195
17,specific_humidity,sosaline,-0.778277492,-0.079485533,0.698791959
50,rainfall,sosaline,-0.735019551,-0.004311237,0.730708314
4,wind_10m,rainfall,-0.130311011,0.661231039,0.791542049
76,sosaline,sea_ice_extent,0.901110038,0.093739256,0.807370782
38,SW_down,snowfall,-0.677368399,0.13560352,0.812971918
73,sosaline,sst,-0.892214925,-0.051655656,0.840559269
1,wind_10m,specific_humidity,-0.628101728,0.351509741,0.979611469
2,wind_10m,LW_down,-0.619776227,0.371621128,0.991397356
8,wind_10m,t2m,-0.628529306,0.391958832,1.020488137
14,specific_humidity,SW_down,0.656764288,-0.44723495,1.103999239
41,SW_down,t2m,0.743929894,-0.41800338,1.161933274
25,LW_down,SW_down,0.695171005,-0.476815351,1.171986356
